tweet,brand_product,sentiment,tweet_tokens,hashtag_count,mention_count,weblink_count,tweet_length,punct_count
Find & Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,1,"['find', 'start', 'impromptu', 'party', 'sxsw', 'hurricaneparty', 'httpbitlygvlrin', 'cant', 'wait', 'til', 'android', 'app', 'come']",1,1,1,18,3
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,1,"['foursquare', 'ups', 'game', 'time', 'sxsw', 'httpjmpgrn7pk', 'still', 'prefer', 'gowalla', 'far', 'best', 'looking', 'android', 'app', 'date']",1,1,1,21,4
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out. RT @hamsandwich via @ischafer =>http://bit.ly/aXZwxB,Other Google product or service,1,"['gotta', 'love', 'sxsw', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'rt', 'hamsandwich', 'via', 'ischafer', 'httpbitlyaxzwxb']",1,2,1,19,2
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,1,"['great', 'sxsw', 'ipad', 'app', 'madebymany', 'httptinyurlcom4nqv92l']",1,1,1,7,1
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,1,"['haha', 'awesomely', 'rad', 'ipad', 'app', 'madebymany', 'httpbitlyhtdfim', 'hollergram', 'sxsw']",2,1,1,10,1
Holler Gram for iPad on the iTunes App Store - http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,iPad,0,"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'httptcokfn3f5q', 'via', 'marcisken', 'sxsw']",1,1,1,13,5
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,0,"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning', 'sxsw', 'iphone']",2,0,0,24,2
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,1,"['added', 'sxsw', 'flight', 'planely', 'matching', 'people', 'planesairports', 'also', 'downloaded', 'klm', 'iphone', 'app', 'nicely', 'done']",1,2,0,19,5
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,1,"['must', 'sxsw', 'app', 'rt', 'malbonster', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'httptcog4gzypv']",1,1,1,18,3
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,1,"['need', 'buy', 'ipad2', 'im', 'austin', 'sxsw', 'sure', 'ill', 'need', 'q', 'austin', 'apple', 'store']",1,0,0,24,4
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,1,"['oh', 'god', 'sxsw', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",1,0,0,23,9
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,1,"['okay', 'really', 'yay', 'new', 'foursquare', 'android', 'app11', 'kthxbai', 'sxsw']",2,1,0,13,7
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,1,"['photo', 'installed', 'sxsw', 'iphone', 'app', 'really', 'nice', 'httptumblrcomx6t1pi6av7']",1,0,1,12,3
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they & Foursquare have up their sleeves at #SXSW,Android App,1,"['really', 'enjoying', 'change', 'gowalla', '30', 'android', 'looking', 'forward', 'seeing', 'else', 'foursquare', 'sleeve', 'sxsw']",1,0,0,23,3
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion. #ChevySMC",iPad,1,"['rt', 'laurieshook', 'im', 'looking', 'forward', 'smcdallas', 'pre', 'sxsw', 'party', 'wed', 'hoping', 'ill', 'win', 'ipad', 'resulting', 'shameless', 'promotion', 'chevysmc']",4,1,0,24,6
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,1,"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'madebymany', 'httpbitlyhtdfim', 'hollergram', 'sxsw', 'via', 'michaelpiliero']",2,2,1,13,3
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,1,"['someone', 'started', 'austin', 'partnerhub', 'group', 'google', 'group', 'presxsw', 'great', 'idea']",2,1,0,12,3
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,1,"['new', '4sq3', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight', 'httpbitlyetsbzk', 'sxsw', 'keepaustinweird']",3,0,1,21,1
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,1,"['right', 'gowalla', '3', 'app', 'android', 'sweeeeet', 'nice', 'job', 'team', 'sxsw']",2,1,0,18,3
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,1,"['smart', 'madebymany', 'hollergram', 'ipad', 'app', 'sxsw', 'httptcoa3xvwc6', 'may', 'leave', 'vuvuzela', 'home']",2,1,1,17,3
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,1,"['must', 'app', 'ipad', 'going', 'sxsw', 'httpitunesapplecomusapphollergramid420666439mt8', 'hollergram']",2,0,1,16,0
"Attn: All #SXSW frineds, @mention Register for #GDGTLive and see Cobra iRadar for Android. {link}",Android,0,"['attn', 'sxsw', 'frineds', 'mention', 'register', 'gdgtlive', 'see', 'cobra', 'iradar', 'android', 'link']",2,1,1,15,3
Anyone at #sxsw want to sell their old iPad?,iPad,0,"['anyone', 'sxsw', 'want', 'sell', 'old', 'ipad']",1,0,0,9,1
Anyone at #SXSW who bought the new iPad want to sell their older iPad to me?,iPad,0,"['anyone', 'sxsw', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",1,0,0,16,1
"At #sxsw. Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",Google,0,"['sxsw', 'oooh', 'rt', 'mention', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",1,1,1,17,3
"The best! RT @mention Ha! First in line for #ipad2 at #sxsw ""pop-up"" Apple store was an event planner #eventprofs #pcma #engage365",iPad,1,"['best', 'rt', 'mention', 'ha', 'first', 'line', 'ipad2', 'sxsw', 'popup', 'apple', 'store', 'event', 'planner', 'eventprofs', 'pcma', 'engage365']",5,1,0,22,5
SPIN Play - a new concept in music discovery for your iPad from @mention & spin.com {link} #iTunes #sxsw @mention,iPad,0,"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'mention', 'spincom', 'link', 'itunes', 'sxsw', 'mention']",2,2,1,18,3
@mention - False Alarm: Google Circles Not Coming Nowand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,0,"['mention', 'false', 'alarm', 'google', 'circle', 'coming', 'nowand', 'probably', 'ever', 'link', 'google', 'circle', 'social', 'sxsw']",4,1,1,16,4
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,Apple,0,"['vatornews', 'google', 'apple', 'force', 'print', 'medium', 'evolve', 'link', 'sxsw']",1,0,1,11,2
"@mention - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up ""flash store"" downtown to sell iPad2",Apple,1,"['mention', 'great', 'weather', 'greet', 'sxsw', 'still', 'need', 'sweater', 'nightapple', 'putting', 'flash', 'store', 'downtown', 'sell', 'ipad2']",1,1,0,22,6
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry & Android: Whether youre getting friend... {link}",iPhone,0,"['hootsuite', 'hootsuite', 'mobile', 'sxsw', 'update', 'iphone', 'blackberry', 'android', 'whether', 'youre', 'getting', 'friend', 'link']",1,0,1,15,8
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and well make you one!,iPhone,0,"['hey', 'sxsw', 'long', 'think', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'mention', 'using', 'zazzlesxsw', 'well', 'make', 'one']",2,1,0,24,3
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},iPad,0,"['mashable', 'ipad', '2', 'take', 'sxsw', 'video', 'ipad', 'sxsw', 'gadget', 'link']",3,0,1,12,4
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},iPhone,0,"['ipad', 'rt', 'mention', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'link']",3,1,1,20,5
#IPad2 's #SmartCover Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,1,"['ipad2', 'smartcover', 'open', 'instant', 'access', 'waited', 'get', 'one', 'link', 'apple', 'sxsw']",4,0,1,17,4
Hand-Held Hobo: Drafthouse launches Hobo With a Shotgun iPhone app #SXSW {link},iPad or iPhone App,1,"['handheld', 'hobo', 'drafthouse', 'launch', 'hobo', 'shotgun', 'iphone', 'app', 'sxsw', 'link']",1,0,1,12,2
HOORAY RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,1,"['hooray', 'rt', 'mention', 'apple', 'opening', 'popup', 'store', 'austin', 'sxsw', 'mention', 'link']",1,2,1,15,2
Orly....? @mention Google set to launch new social network #Circles today at #sxsw,Google,0,"['orly', 'mention', 'google', 'set', 'launch', 'new', 'social', 'network', 'circle', 'today', 'sxsw']",2,1,0,13,5
wooooo!!! @mention Apple store downtown Austin open til Midnight. #sxsw,Apple,1,"['wooooo', 'mention', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw']",1,1,0,10,4
"Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a ""fundamental misunderstanding"" of the platform #sxsw",iPad,0,"['khoi', 'vinh', 'mention', 'say', 'conde', 'nast', 'headlong', 'rush', 'ipad', 'publishing', 'fundamental', 'misunderstanding', 'platform', 'sxsw']",1,1,0,19,4
@mention @mention #Google Will Connect the Digital & Physical Worlds Through Mobile - {link} #sxsw @mention,Google,0,"['mention', 'mention', 'google', 'connect', 'digital', 'physical', 'world', 'mobile', 'link', 'sxsw', 'mention']",2,3,1,14,2
@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw,Google,1,"['mention', 'mention', 'talking', 'link', 'google', 'effort', 'allow', 'user', 'open', 'system', 'bettercloud', 'sxsw']",2,2,1,16,2
"{link} RT @mention ""Google before you tweet"" is the new ""think before you speak."" - Mark Belinsky, #911tweets panel at #SXSW.",Google,0,"['link', 'rt', 'mention', 'google', 'tweet', 'new', 'think', 'speak', 'mark', 'belinsky', '911tweets', 'panel', 'sxsw']",2,1,1,20,8
{link} RT @mention 1st stop on the #SXSW #Chaos & @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,1,"['link', 'rt', 'mention', '1st', 'stop', 'sxsw', 'chaos', 'mention', 'hunt', 'austin', 'java', 'get', 'spy', 'game', '4', 'chance', '2', 'win', 'ipad']",2,2,1,25,4
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention {link},iPad or iPhone App,0,"['link', 'rt', 'mention', 'sxsw', 'check', 'holler', 'gram', 'ipad', 'app', 'mention', 'link']",1,2,2,16,0
@mention @mention & @mention having fun at #google [pic] #SXSW {link},Google,0,"['mention', 'mention', 'mention', 'fun', 'google', 'pic', 'sxsw', 'link']",2,3,1,10,3
"""via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw """,Apple,0,"['via', 'mention', 'link', 'guy', 'kawasaki', 'talk', 'enchanted', 'sxsw', 'know', 'stuff', 'book', 'internet', 'apple', 'sxsw', '']",4,1,1,17,7
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link} #sxsw",Google,0,"['futuremf', 'mention', 'link', 'spec', 'recipe', 'web', 'google', 'search', 'link', 'sxsw']",2,1,2,15,2
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,1,"['omfg', 'rt', 'mention', 'heard', 'apple', 'popup', 'store', 'downtown', 'austin', 'pic', 'already', 'gowalla', 'link', 'sxsw', 'ipad2']",3,1,1,19,5
"#Smile RT @mention I think Apple's ""pop-up store"" in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,0,"['smile', 'rt', 'mention', 'think', 'apple', 'popup', 'store', 'austin', 'would', 'lot', 'interesting', 'actually', 'know', 'popped', 'sxsw']",2,1,0,24,8
Again? RT @mention Line at the Apple store is insane.. #sxsw,Apple,0,"['rt', 'mention', 'line', 'apple', 'store', 'insane', 'sxsw']",1,1,0,11,3
attending @mention iPad design headaches #sxsw {link},iPad,0,"['attending', 'mention', 'ipad', 'design', 'headache', 'sxsw', 'link']",1,1,1,7,0
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",iPhone,0,"['boooo', 'rt', 'mention', 'flipboard', 'developing', 'iphone', 'version', 'android', 'say', 'mention', 'sxsw']",1,2,0,14,3
Check out @mention @mention & @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW {link},iPad,1,"['check', 'mention', 'mention', 'mention', 'line', 'ipad', '2', 'austin', 'power', 'sxswi', 'sxsw', 'link']",2,3,1,19,3
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Google,0,"['check', 'rt', 'mention', 'giving', 'added', 'value', 'location', 'based', 'service', 'need', 'battle', 'checkin', 'fatigue', 'google', 'pnid', 'sxsw']",3,1,0,18,2
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,1,"['rt', 'mention', 'come', 'party', 'w', 'google', 'tonight', 'sxsw', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",1,1,1,20,9
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Google,0,"['haha', 'rt', 'mention', 'sxsw', 'news', 'yahoocom', 'loosing', 'search', 'traffic', 'new', 'site', 'googlecom', 'doubt', 'last', 'tho', 'w', 'weird', 'name']",1,1,0,23,9
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,1,"['holla', 'rt', 'mention', 'google', 'party', 'best', 'ever', 'get', 'butt', 'sxsw']",1,1,0,14,4
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,1,"['love', 'mention', 'iphone', 'case', 'sxsw', 'cant', 'get', 'phone', 'fail']",2,1,0,18,1
"iPad2? RT @mention Droid & Mac here :) RT @mention My #agnerd confession, using laptop, iPad & blackberry to follow #SXSW",iPad,0,"['ipad2', 'rt', 'mention', 'droid', 'mac', 'rt', 'mention', 'agnerd', 'confession', 'using', 'laptop', 'ipad', 'blackberry', 'follow', 'sxsw']",2,2,0,18,7
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet {link} #sxsw,iPad or iPhone App,1,"['new', 'post', 'mention', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet', 'link', 'sxsw']",1,1,1,20,1
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,1,"['nice', 'mention', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous', 'sxsw']",1,1,0,13,2
Nice! RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,iPad,0,"['nice', 'rt', 'mention', 'apple', 'opening', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'sxsw', 'link', 'via', 'mention']",1,2,1,18,1
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,1,"['nice', 'rt', 'mention', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'thats', 'slated', 'popup', 'sxsw', 'apple', 'store', 'tomorrow', 'link']",1,1,1,23,7
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,1,"['one', 'thing', 'mention', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love', 'sxsw', 'sxwsi']",2,1,0,27,2
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,1,"['thanks', 'mention', 'mention', 'new', 'speech', 'ipad', 'apps', 'showcased', 'sxsw', 'conf', 'link', 'sxswh', 'sxsh']",4,1,1,21,1
What !?!? @mention #SXSW does not provide iPhone chargers?!? I've changed my mind about going next year!,iPhone,0,"['mention', 'sxsw', 'provide', 'iphone', 'charger', 'ive', 'changed', 'mind', 'going', 'next', 'year']",1,1,0,16,9
Wonder if @mention & @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,iPad,0,"['wonder', 'mention', 'mention', 'apple', 'flashmob', 'tcrnchfcs45j', 'sxsw', 'ipad2']",2,2,0,13,4
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,1,"['xmas', 'rt', 'mention', 'shiny', 'new', 'mention', 'mention', 'mention', 'apps', 'new', 'garyvee', 'book', 'popup', 'ipad', '2', 'store', 'sxsw', 'christmas', 'nerd']",1,5,0,22,9
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,1,"['yai', 'rt', 'mention', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'cont', 'link']",3,1,1,20,5
"Fast, Fun & Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,1,"['fast', 'fun', 'future', 'mention', 'google', 'presenting', 'sxsw', 'search', 'local', 'mobile']",1,1,0,14,4
GSD&M & Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Google,0,"['gsdm', 'google', 'industry', 'party', 'tonight', 'mention', 'see', 'u', 'link', 'sxsw', 'austin', 'welivehere', 'gsdm']",4,1,1,14,5
"New buzz? ""@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw""",Google,0,"['new', 'buzz', 'mention', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link', 'rt', 'mention', 'sxsw']",1,2,1,18,4
"Headline: ""#iPad 2 is the Must-Have Gadget at #SXSW"" Hmm... I could have seen that one coming! {link} #gadget",iPad,1,"['headline', 'ipad', '2', 'musthave', 'gadget', 'sxsw', 'hmm', 'could', 'seen', 'one', 'coming', 'link', 'gadget']",3,0,1,19,8
"@mention ""Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow",iPad,0,"['mention', 'apple', 'opened', 'popup', 'store', 'austin', 'nerd', 'town', 'sxsw', 'get', 'new', 'ipads', 'link', 'wow']",2,1,1,23,3
"Know that ""dataviz"" translates to ""satanic"" on an iPhone. I'm just sayin'. #sxsw",iPhone,0,"['know', 'dataviz', 'translates', 'satanic', 'iphone', 'im', 'sayin', 'sxsw']",1,0,0,13,8
".@mention ""Google launched checkins a month ago."" Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,1,"['mention', 'google', 'launched', 'checkins', 'month', 'ago', 'check', 'in', 'ok', 'check', 'out', 'future', 'sxsw', 'bizzy']",2,1,0,19,6
".@mention ""Google launched checkins a month ago."" Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",Google,0,"['mention', 'google', 'launched', 'checkins', 'month', 'ago', 'check', 'in', 'ok', 'check', 'out', 'future', 'sxsw', 'bizzy', 'via', 'mention']",2,2,0,21,7
"@mention ""Google before you tweet"" is the new ""think before you speak."" - Mark Belinsky, #911tweets panel at #SXSW.",Google,1,"['mention', 'google', 'tweet', 'new', 'think', 'speak', 'mark', 'belinsky', '911tweets', 'panel', 'sxsw']",2,1,0,18,8
"Attending ""left brain search = Google, Right brain search = X"" #Bettersearch -- talking about the future of search engines at #sxsw",Google,0,"['attending', 'left', 'brain', 'search', 'google', 'right', 'brain', 'search', 'x', 'bettersearch', 'talking', 'future', 'search', 'engine', 'sxsw']",2,0,0,19,7
"#HP opens ""Mobile Park"" & Content Incubator at #SXSW {link} #Apple constructs ""pop-up"" store {link}",Apple,0,"['hp', 'open', 'mobile', 'park', 'content', 'incubator', 'sxsw', 'link', 'apple', 'construct', 'popup', 'store', 'link']",3,0,2,14,6
"Kawasaki: ""Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God"" #bawling #sxsw",Apple,1,"['kawasaki', 'c', 'lewis', 'level', 'reasoning', 'apple', 'continued', 'existence', 'evidence', 'existence', 'god', 'bawling', 'sxsw']",2,0,0,19,7
"Kawasaki: ""pagemaker saved Apple."" Oh those were the days. #sxsw #jwtatl #enchantment",Apple,0,"['kawasaki', 'pagemaker', 'saved', 'apple', 'oh', 'day', 'sxsw', 'jwtatl', 'enchantment']",3,0,0,12,5
"Kawasaki: ""pagemaker saved Apple."" Oh those were the days. #sxsw #jwtatl #enchantment via @mention",Apple,1,"['kawasaki', 'pagemaker', 'saved', 'apple', 'oh', 'day', 'sxsw', 'jwtatl', 'enchantment', 'via', 'mention']",3,1,0,14,5
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Android,1,"['spark', 'android', 'teamandroid', 'award', 'sxsw', 'read', 'link']",3,0,1,16,1
"Unboxing. #Apple #sxsw @mention Apple Store, SXSW {link}",Apple,0,"['unboxing', 'apple', 'sxsw', 'mention', 'apple', 'store', 'sxsw', 'link']",2,1,1,8,2
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake & tsunami trauma. #sxswi",iPad,1,"['sxsw', 'apple', 'ipad', '2', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'dealing', 'w', 'earthquake', 'tsunami', 'trauma', 'sxswi']",3,0,0,21,6
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",Apple,0,"['sxsw', 'apple', 'school', 'marketing', 'expert', 'sxsw', 'cnet', 'blog', 'link']",3,0,1,11,3
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,1,"['sxsw', 'apple', 'school', 'marketing', 'expert', 'link']",2,0,1,8,2
"At #SXSW, #Apple schools the marketing experts {link}",Apple,0,"['sxsw', 'apple', 'school', 'marketing', 'expert', 'link']",2,0,1,8,1
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW {link}",Apple,1,"['temporary', 'apple', 'store', 'def', 'tent', 'powerhouse', 'gym', 'sxsw', 'link']",2,0,1,14,2
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,1,"['temporary', 'apple', 'store', '6th', 'congress', 'sxsw', 'along', '10000', 'happy', 'hipster']",2,0,0,15,3
@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,1,"['mention', 'apple', 'win', 'sxsw', 'link', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'ipad2', 'launch', 'good']",3,1,1,19,2
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,1,"['ipad', 'austin', 'trending', 'today', 'fun', 'sxsw', 'nerdy', 'nerd']",3,0,0,14,4
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,iPhone,0,"['funny', 'austin', 'trending', 'sxsw', 'matter', 'minute', 'point', 'least', 'according', 'twitter', 'iphone']",2,0,0,23,4
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,1,"['christian', 'ipad', 'iphone', 'devs', 'want', 'talk', 'u', 'sxsw', 'maybe', 'wk', 'together', 'cool', 'app', 'mention']",3,1,0,24,2
